Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
1,54,3.5,3.6,3.4,3.2,3.444444444,4.875,5.5,4.25,1.25,1.4,1.2,1.6
1,45,2.75,1.8,2.4,2.2,2.111111111,1,5.45,2.7,2.75,3,2.6,3.4
1,30,2.25,2.8,2.6,2.6,2.555555556,3.625,4.55,4.85,-0.3,1.5,1.4,1.6
1,45,3.5,3.4,3.4,3.2,3.333333333,4.5,4.5,4.5,0,3,3,3
1,46,4.75,4.4,4.75,4.6,4.5,4.375,6.25,4.65,1.6,3,3,3
1,56,4.75,4,4.8,4.4,4.444444444,5.5,5.2,5.25,-0.05,2.6,2.6,2.6
1,36,3.25,3,3,3.2,3,3.25,3.25,3.45,-0.2,3,3,3
1,55,3.75,2.8,3.2,3.4,2.888888889,4.875,4.75,4.4,0.35,1.8,1.6,2
1,61,2.5,1.8,2.4,2.4,2.111111111,3.5,4.7,3.55,1.15,1.2,1.2,1.2
1,48,3.5,3,3.6,3,3.333333333,4.5,5.7,3.75,1.95,3.2,3,3.4
1,49,3.75,3.4,3.75,3.8,3.5,5.571428571,5.315789474,3.8,1.515789474,3.2,3,3.4
1,52,4.25,3.8,3.6,4,3.666666667,4.75,5.1,4.85,0.25,1.6,1.6,1.6
1,50,5,4.25,4.8,4.6,4.625,6.375,6.1,4.631578947,1.468421053,3.4,2.8,4
